lemma	answer_form	part_of_speech	gender	translation_en	pronunciation	category	notes	drillable	source_text	changes
mein		possessive		my (before masculine and neuter)				no	mein / meine	split into two entries; prompt disambiguated
meine		possessive		my (before feminine and plural)				no	mein / meine	split into two entries; prompt disambiguated
dein		possessive		your (before masculine and neuter)				no	dein / deine	split into two entries; the source listed these under both Pronouns and Possessive adjectives
deine		possessive		your (before feminine and plural)				no	dein / deine	split into two entries; deduplicated
wo		interrogative		where	v-oh			no	wo	
und		conjunction		and				no	und	
aber		conjunction		but				no	aber	
denn		conjunction		because / for			keeps normal word order, unlike weil	no	denn	note added on the word order difference from weil
weil		conjunction		because			sends the verb to the end of the clause	no	weil	note added
dass		conjunction		that			sends the verb to the end of the clause	no	dass	note added
wenn		conjunction		if / when				no	wenn	
obwohl		conjunction		although			sends the verb to the end of the clause	no	obwohl	note added
oder		conjunction		or				no	oder	
ist		verb		is (he/she/it form of sein)				no	ist	reclassified: the source filed this under Conjunctions, but it is a form of sein
bist		verb		are (you form of sein)				no	bist	reclassified: the source filed this under Conjunctions, but it is a form of sein
in		preposition		in / into				no	in	
auf		preposition		on / onto				no	auf	
an		preposition		on / at (a vertical surface or an edge)				no	an	prompt disambiguated from auf
mit		preposition		with				no	mit	the source listed mit twice, under Conjunctions and Prepositions; merged as a preposition
von		preposition		from / of				no	von	
für		preposition		for				no	für	
zu		preposition		to / at				no	zu	
bei		preposition		at / by / with				no	bei	
nach		preposition		after / to				no	nach	
seit		preposition		since / for (a period of time)				no	seit	
heute		adverb		today				no	heute	
morgen		adverb		tomorrow			lowercase morgen is tomorrow; capitalised der Morgen is the morning	no	morgen	note added on the capitalisation difference
gestern		adverb		yesterday				no	gestern	
dort		adverb		there				no	dort	
sehr		adverb		very				no	sehr	
nicht		adverb		not				no	nicht	
schon		adverb		already			contrast schoen (schön), which means beautiful	no	schon	note added
