section	subsection	is_function_word	article	lemma	gender	part_of_speech	translation_en	pronunciation	example_sentences	other_children	flags
Function Words	Pronouns	yes		mein / meine		pronoun	my  (m/f)				multiple-forms
Function Words	Pronouns	yes		ich		pronoun	I				
Function Words	Pronouns	yes		wir		pronoun	we				
Function Words	Possessive adjectives	yes		dein		possessive	your				
Function Words	Possessive adjectives	yes		deine		possessive	your				
Function Words	Interrogatives	yes		wo		interrogative	where	'voo'			
Function Words	Conjunctions	yes		und		conjunction	and				
Function Words	Conjunctions	yes		ist		conjunction	is				
Function Words	Conjunctions	yes		bist		conjunction	are				
Function Words	Conjunctions	yes		aber		conjunction	but				
Function Words	Conjunctions	yes		denn		conjunction	because / for				
Function Words	Conjunctions	yes		weil		conjunction	because				
Function Words	Conjunctions	yes		dass		conjunction	that				
Function Words	Conjunctions	yes		wenn		conjunction	if / when				
Function Words	Conjunctions	yes		obwohl		conjunction	although				
Function Words	Conjunctions	yes		oder		conjunction	or				
Function Words	Conjunctions	yes		mit		conjunction	with				
Function Words	Prepositions	yes		in		preposition	in / into				
Function Words	Prepositions	yes		auf		preposition	on / onto				
Function Words	Prepositions	yes		an		preposition	on / at				
Function Words	Prepositions	yes		mit		preposition	with				
Function Words	Prepositions	yes		von		preposition	from / of				
Function Words	Prepositions	yes		für		preposition	for				
Function Words	Prepositions	yes		zu		preposition	to / at				
Function Words	Prepositions	yes		bei		preposition	at / by / with				
Function Words	Prepositions	yes		nach		preposition	after / to				
Function Words	Prepositions	yes		seit		preposition	since / for				
Function Words	Adverbs	yes		heute		adverb	today				
Function Words	Adverbs	yes		morgen		adverb	tomorrow				
Function Words	Adverbs	yes		gestern		adverb	yesterday				
Function Words	Adverbs	yes		hier		adverb	here				
Function Words	Adverbs	yes		dort		adverb	there				
Function Words	Adverbs	yes		sehr		adverb	very				
Function Words	Adverbs	yes		nicht		adverb	not				
Function Words	Adverbs	yes		schon		adverb	already				
